Algorithm,k,Linkage,Metric,Silhouette Score,Cluster Sizes
K-Means,2,N/A,euclidean,0.410022910487096,"{0: 3050, 1: 2617}"
K-Means,3,N/A,euclidean,0.36515615152332587,"{0: 2921, 1: 1831, 2: 915}"
K-Means,4,N/A,euclidean,0.32592298222596394,"{0: 1033, 1: 1868, 2: 436, 3: 2330}"
K-Means,5,N/A,euclidean,0.298099821057804,"{0: 1988, 1: 1080, 2: 179, 3: 661, 4: 1759}"
K-Means,6,N/A,euclidean,0.2810727848567023,"{0: 1347, 1: 488, 2: 1469, 3: 449, 4: 1862, 5: 52}"
K-Means,7,N/A,euclidean,0.245951722560096,"{0: 305, 1: 1443, 2: 1040, 3: 394, 4: 1454, 5: 52, 6: 979}"
Hierarchical,3,single,euclidean,0.7827427728022954,"{0: 5665, 1: 1, 2: 1}"
Hierarchical,3,complete,euclidean,0.330557023043553,"{0: 1771, 1: 29, 2: 3867}"
Hierarchical,3,average,euclidean,0.7467536770018197,"{0: 5658, 1: 1, 2: 8}"
Hierarchical,3,ward,euclidean,0.33886210922513077,"{0: 2631, 1: 613, 2: 2423}"
Hierarchical,3,single,euclidean,0.7827427728022954,"{0: 5665, 1: 1, 2: 1}"
Hierarchical,3,single,manhattan,0.7827427728022954,"{0: 5665, 1: 1, 2: 1}"
Hierarchical,3,single,cosine,-0.3907170667463388,"{0: 5662, 1: 4, 2: 1}"
Hierarchical,3,complete,euclidean,0.330557023043553,"{0: 1771, 1: 29, 2: 3867}"
Hierarchical,3,complete,manhattan,0.47563482132626933,"{0: 317, 1: 11, 2: 5339}"
Hierarchical,3,complete,cosine,0.11063506882032052,"{0: 2536, 1: 2680, 2: 451}"
Hierarchical,3,average,euclidean,0.7467536770018197,"{0: 5658, 1: 1, 2: 8}"
Hierarchical,3,average,manhattan,0.7704306319678402,"{0: 5661, 1: 5, 2: 1}"
Hierarchical,3,average,cosine,0.09996605006073954,"{0: 2660, 1: 2576, 2: 431}"
